Full Path,Name,URL
08財政學/8.02宋玉生,8.02宋玉生,https://drive.google.com/drive/folders/1OYJPODJtceVrEDG-OmepcQYvbAyBapi3
08財政學/8.02宋玉生/課程評價,課程評價,https://drive.google.com/drive/folders/16wqcH44QmGgZmdpxYR5__J-RTabAKE8V
08財政學/8.02宋玉生/課程評價/課程ptt評價財政學-宋玉生.pdf,課程ptt評價財政學-宋玉生.pdf,https://drive.google.com/file/d/1l65O2BF-a3ziitbb3y4S6LRsqz25EE_J/view?usp=drivesdk
08財政學/8.02宋玉生/下學期期中考,下學期期中考,https://drive.google.com/drive/folders/1MRvK_56xruqXinjdMlwCDN30K-YeaQa1
08財政學/8.02宋玉生/下學期期中考/97下宋玉生財政期中考與解答.pdf,97下宋玉生財政期中考與解答.pdf,https://drive.google.com/file/d/13ct1E8HJ3EnLBFlwtZ968guuxomzRDSV/view?usp=drivesdk
08財政學/8.02宋玉生/下學期期中考/99下宋玉生財政期中考與解答.pdf,99下宋玉生財政期中考與解答.pdf,https://drive.google.com/file/d/1u4x4hQqWN6AMmyQljqrr0LmA1ekoPxpm/view?usp=drivesdk
08財政學/8.02宋玉生/下學期期中考/98下宋玉生財政期中考與解答.pdf,98下宋玉生財政期中考與解答.pdf,https://drive.google.com/file/d/1z0prK-WkRPqy_AOL0fYrI8RdXSfBGbZ2/view?usp=drivesdk
08財政學/8.02宋玉生/上學期期末考,上學期期末考,https://drive.google.com/drive/folders/1TbQn9OV1F7J6nYpuL4LoHnUGQfV5bFcr
08財政學/8.02宋玉生/上學期期末考/98上宋玉生財政期末考與解答.pdf,98上宋玉生財政期末考與解答.pdf,https://drive.google.com/file/d/1BcI51PPbvOks5K2t8shcfHcR7LMGqgQF/view?usp=drivesdk
08財政學/8.02宋玉生/上學期期末考/100上宋玉生財政期末考與解答.pdf,100上宋玉生財政期末考與解答.pdf,https://drive.google.com/file/d/1Jt579mMJPUqMaRBG3giuT4k6SV30oosj/view?usp=drivesdk
08財政學/8.02宋玉生/上學期期末考/97上宋玉生財政期末考與解答.pdf,97上宋玉生財政期末考與解答.pdf,https://drive.google.com/file/d/1RHJIB4KHg_lrveRCIK_ZNKRoE2n9ELhO/view?usp=drivesdk
08財政學/8.02宋玉生/上學期期末考/110上宋玉生財政學期末考.pdf,110上宋玉生財政學期末考.pdf,https://drive.google.com/file/d/1eAjclISakHZRNFeV7Hk-5sWOij2SPxHQ/view?usp=drivesdk
08財政學/8.02宋玉生/上學期期末考/99上宋玉生財政期末考與解答.pdf,99上宋玉生財政期末考與解答.pdf,https://drive.google.com/file/d/1m_NhHFrOJxLXvauEYxuNJ6SjsWqExGjt/view?usp=drivesdk
08財政學/8.02宋玉生/下學期期末考,下學期期末考,https://drive.google.com/drive/folders/1jBzaPEYhIuHg1ZMOJlbZARPNV3aGjf_R
08財政學/8.02宋玉生/下學期期末考/97下宋玉生財政期末考與解答.pdf,97下宋玉生財政期末考與解答.pdf,https://drive.google.com/file/d/1MkXeq1Ut7kMBiE9m9ogtVxj6U7hVocyS/view?usp=drivesdk
08財政學/8.02宋玉生/下學期期末考/98下宋玉生財政期末考與解答.pdf,98下宋玉生財政期末考與解答.pdf,https://drive.google.com/file/d/13GkYsHXj6x4q0hQ3s9jijL78l_uZd82y/view?usp=drivesdk
08財政學/8.02宋玉生/下學期期末考/99下宋玉生財政期末考與解答.pdf,99下宋玉生財政期末考與解答.pdf,https://drive.google.com/file/d/16_Y3e06qXHMIflBbKAtWuaFgY4sxaw-0/view?usp=drivesdk
08財政學/8.02宋玉生/上學期期中考,上學期期中考,https://drive.google.com/drive/folders/1ofFhoXz6poQegZSO0wddrzQEA8q9XIZQ
08財政學/8.02宋玉生/上學期期中考/97上宋玉生財政期中考與解答.pdf,97上宋玉生財政期中考與解答.pdf,https://drive.google.com/file/d/10OYSrnQ0AYAFPsAjzAbCQrxbiGhuhZa4/view?usp=drivesdk
08財政學/8.02宋玉生/上學期期中考/99上宋玉生財政期中考與解答.pdf,99上宋玉生財政期中考與解答.pdf,https://drive.google.com/file/d/1QaeJyTH4Mj-JBwaDe7g_PqmqkXv3Qove/view?usp=drivesdk
08財政學/8.02宋玉生/上學期期中考/98上宋玉生財政期中考與解答.pdf,98上宋玉生財政期中考與解答.pdf,https://drive.google.com/file/d/1ordxtwCJ1RrwRGesA1mJPe3KOtBfCukG/view?usp=drivesdk
08財政學/8.02宋玉生/上學期期中考/100上宋玉生財政期中考與解答.pdf,100上宋玉生財政期中考與解答.pdf,https://drive.google.com/file/d/1wBvpdf9VnyPmBMC4Ohjg6oMt7p9fa4ie/view?usp=drivesdk
