Full Path,Name,URL
23中等會計學/23.02王全三,23.02王全三,https://drive.google.com/drive/folders/1GXoJ5UaNLrULZfDpgoCiz4NX0sL8MlDZ
23中等會計學/23.02王全三/課程PTT評價中會-王全三.PDF,課程PTT評價中會-王全三.PDF,https://drive.google.com/file/d/1iLYZLEtHFI1dy0jlm7-TFTaaF-yZGeUH/view?usp=drivesdk
23中等會計學/23.01李艷榕,23.01李艷榕,https://drive.google.com/drive/folders/1ML2PO2Ocf0_ocRdseTdGIX_guaL9EOa0
23中等會計學/23.01李艷榕/課程評價,課程評價,https://drive.google.com/drive/folders/1FuzM6vkC3sRhuZ5FbtVYva-_wGbDy8rd
23中等會計學/23.01李艷榕/課程評價/中等會計學-李艷榕.pdf,中等會計學-李艷榕.pdf,https://drive.google.com/file/d/1xbZglW-qgWDQwW81a4-S2tuhQF_gkK9d/view?usp=drivesdk
23中等會計學/23.04劉心才,23.04劉心才,https://drive.google.com/drive/folders/1q24f1xRabUCTzw04KBS70-ucrOnELOlM
23中等會計學/23.04劉心才/課程PTT評價中會-劉心才.PDF,課程PTT評價中會-劉心才.PDF,https://drive.google.com/file/d/1c6TAc1i2bTkMHoDIDsBo_zo6ZP4bbj7a/view?usp=drivesdk
23中等會計學/23.03蔡彥卿,23.03蔡彥卿,https://drive.google.com/drive/folders/1wpSqz9zxDlcoKMFraiEuQ37pD3hRrKg9
23中等會計學/23.03蔡彥卿/課程PTT評價中會-蔡彥卿.PDF,課程PTT評價中會-蔡彥卿.PDF,https://drive.google.com/file/d/1snKHvIubfC7ldt4s2VeOFQ9r5NIVL70X/view?usp=drivesdk
23中等會計學/23.03蔡彥卿/105下蔡彥卿中會第二次小考題目+解答.PDF,105下蔡彥卿中會第二次小考題目+解答.PDF,https://drive.google.com/file/d/15aWmHeZR8G9DS-nkaFZMArW1T3KcvkiQ/view?usp=drivesdk
23中等會計學/23.03蔡彥卿/105下蔡彥卿中會第三次小考題目+解答.PDF,105下蔡彥卿中會第三次小考題目+解答.PDF,https://drive.google.com/file/d/1Iw18dbL4HN8ABM6WnKJQpp6jTVs7ddSF/view?usp=drivesdk
23中等會計學/23.03蔡彥卿/105下蔡彥卿中會第一次小考題目+解答.PDF,105下蔡彥卿中會第一次小考題目+解答.PDF,https://drive.google.com/file/d/1zJSHf7lhpIg8wYafAcNOe7Rr2eXk2hNI/view?usp=drivesdk
